institut,datum,befragte,zeitraum,typ,partei,anteil
allensbach,2017-05-26,1457,05.05.–19.05.,keineangabe,CDU/CSU,0.37
allensbach,2017-04-25,1407,01.04.–13.04.,keineangabe,CDU/CSU,0.36
allensbach,2017-03-28,1397,06.03.–19.03.,keineangabe,CDU/CSU,0.34
allensbach,2017-02-22,1542,01.02.–15.02.,keineangabe,CDU/CSU,0.33
allensbach,2017-01-26,1441,05.01.–19.01.,keineangabe,CDU/CSU,0.36
allensbach,2016-12-22,1459,01.12.–15.12.,keineangabe,CDU/CSU,0.355
allensbach,2016-11-16,1436,28.10.–10.11.,keineangabe,CDU/CSU,0.34
allensbach,2016-10-20,1458,01.10.–13.10.,keineangabe,CDU/CSU,0.33
allensbach,2016-09-22,1407,03.09.–15.09.,keineangabe,CDU/CSU,0.335
allensbach,2016-08-24,1496,03.08.–17.08.,keineangabe,CDU/CSU,0.345
allensbach,2016-07-21,1466,01.07.–14.07.,keineangabe,CDU/CSU,0.355
allensbach,2016-06-15,1396,27.05.–09.06.,keineangabe,CDU/CSU,0.335
allensbach,2016-05-17,1474,28.04.–12.05.,keineangabe,CDU/CSU,0.335
allensbach,2016-04-20,1388,01.04.–14.04.,keineangabe,CDU/CSU,0.335
allensbach,2016-03-18,1456,26.02.–10.03.,keineangabe,CDU/CSU,0.35
allensbach,2016-02-17,1521,01.02.–11.02.,keineangabe,CDU/CSU,0.335
allensbach,2016-01-26,1431,07.01.–21.01.,keineangabe,CDU/CSU,0.35
allensbach,2015-12-16,1457,28.11.–10.12.,keineangabe,CDU/CSU,0.38
allensbach,2015-11-19,1448,01.11.–11.11.,keineangabe,CDU/CSU,0.375
allensbach,2015-10-20,1400,03.10.–16.10.,keineangabe,CDU/CSU,0.38
allensbach,2015-09-16,1400,01.09.–12.09.,keineangabe,CDU/CSU,0.42
allensbach,2015-08-19,1400,01.08.–14.08.,keineangabe,CDU/CSU,0.415
allensbach,2015-07-16,1200,01.07.–13.07.,keineangabe,CDU/CSU,0.405
allensbach,2015-06-18,1400,01.06.–14.06.,keineangabe,CDU/CSU,0.415
allensbach,2015-05-21,1450,02.05.–08.05.,keineangabe,CDU/CSU,0.415
allensbach,2015-04-16,1430,28.03.–10.04.,keineangabe,CDU/CSU,0.405
allensbach,2015-03-19,1500,01.03.–12.03.,keineangabe,CDU/CSU,0.415
allensbach,2015-02-19,1400,01.02.–12.02.,keineangabe,CDU/CSU,0.41
