datum,partei,rolling_average,sz_err,ci_higher,ci_lower
2009-10-23,CDU/CSU,0.35,0.02953,0.37953,0.32047
2009-10-23,SPD,0.21,0.02522,0.23522,0.18478
2009-10-23,Grüne,0.11,0.01937,0.12937,0.09063
2009-10-23,FDP,0.14,0.02149,0.16149,0.11851
2009-10-23,Linke,0.14,0.02149,0.16149,0.11851
2009-11-19,CDU/CSU,0.35,0.02955,0.37955,0.32045
2009-11-19,SPD,0.21,0.02523,0.23523,0.18477
2009-11-19,Grüne,0.12,0.02013,0.14013,0.09987
2009-11-19,FDP,0.13,0.02083,0.15083,0.10917
2009-11-19,Linke,0.13,0.02083,0.15083,0.10917
2009-12-14,CDU/CSU,0.35,0.02953,0.37953,0.32047
2009-12-14,SPD,0.24,0.02644,0.26644,0.21356
2009-12-14,Grüne,0.13,0.02082,0.15082,0.10918
2009-12-14,FDP,0.12,0.02012,0.14012,0.09988
2009-12-14,Linke,0.11,0.01937,0.12937,0.09063
2010-01-19,CDU/CSU,0.35,0.02955,0.37955,0.32045
2010-01-19,SPD,0.24,0.02646,0.26646,0.21354
2010-01-19,Grüne,0.14,0.0215,0.1615,0.1185
2010-01-19,FDP,0.11,0.01938,0.12938,0.09062
2010-01-19,Linke,0.11,0.01938,0.12938,0.09062
2010-03-01,CDU/CSU,0.35,0.0295,0.3795,0.3205
2010-03-01,SPD,0.25,0.02678,0.27678,0.22322
2010-03-01,Grüne,0.15,0.02209,0.17209,0.12791
2010-03-01,FDP,0.1,0.01856,0.11856,0.08144
2010-03-01,Linke,0.09,0.0177,0.1077,0.0723
2010-03-25,CDU/CSU,0.34,0.02929,0.36929,0.31071
2010-03-25,SPD,0.26,0.02712,0.28712,0.23288
2010-03-25,Grüne,0.15,0.02208,0.17208,0.12792
2010-03-25,FDP,0.09,0.01769,0.10769,0.07231
2010-03-25,Linke,0.1,0.01855,0.11855,0.08145
2010-04-22,CDU/CSU,0.35,0.02947,0.37947,0.32053
2010-04-22,SPD,0.26,0.02711,0.28711,0.23289
2010-04-22,Grüne,0.15,0.02207,0.17207,0.12793
2010-04-22,FDP,0.09,0.01768,0.10768,0.07232
2010-04-22,Linke,0.09,0.01768,0.10768,0.07232
2010-05-20,CDU/CSU,0.33,0.0291,0.3591,0.3009
2010-05-20,SPD,0.28,0.02779,0.30779,0.25221
2010-05-20,Grüne,0.16,0.02269,0.18269,0.13731
2010-05-20,FDP,0.07,0.01579,0.08579,0.05421
2010-05-20,Linke,0.1,0.01857,0.11857,0.08143
2010-06-23,CDU/CSU,0.32,0.02888,0.34888,0.29112
2010-06-23,SPD,0.29,0.0281,0.3181,0.2619
2010-06-23,Grüne,0.17,0.02326,0.19326,0.14674
2010-06-23,FDP,0.06,0.0147,0.0747,0.0453
2010-06-23,Linke,0.1,0.01858,0.11858,0.08142
2010-07-21,CDU/CSU,0.32,0.02885,0.34885,0.29115
